"Post-Office-Name","pincode","Locality","District","State","Post Office Type","Taluka","Latitude","Longitude"
"Amravati H.O","444601","Tahasil","Amravati","Maharashtra","Head Office ","Amravati","20.930737","77.755523"
"Ambapeth S.O","444601","Ambapeth","Amravati","Maharashtra","Sub Post Office ","Amravati","20.92736976","77.75492808"
"Bhaji Bazar Amravati S.O","444601","Bhaji Bazar","Amravati","Maharashtra","Sub Post Office ","Amravati","20.92662336","77.75353003"
"Old Cotton Market S.O","444601","Old Cotton Market","Amravati","Maharashtra","Sub Post Office ","Amravati","20.931333","77.755175"
"Rajapeth S.O","444601","Rajapeth","Amravati","Maharashtra","Sub Post Office ","Amravati","20.92662336","77.75353003"
"Walgaon Road Tso Amravati S.O","444601","Walgaon Road ","Amravati","Maharashtra","Sub Post Office ","Amravati","20.93265","77.750724"
"Amravati Camp S.O","444602","Amravati Camp","Amravati","Maharashtra","Sub Post Office ","Amravati","20.940203","77.78879005"
"Bhatkuli S.O","444602","Bhatkuli","Amravati","Maharashtra","Sub Post Office ","Bhatkuli","20.87135696","77.50339508"
"Sant GadgebabaAmravatiUniversity S.O","444602","Sant GadgebabaAmravatiUniversity","Amravati","Maharashtra","Sub Post Office ","Amravati","20.87135696","77.50339508"
"Asra B.O","444602","Asra","Amravati","Maharashtra","Branch Post Office ","Bhatkuli","20.9560592","77.7653157"
"Borgaon Dharmale","444602","Borgaon Dharmale","Amravati","Maharashtra","Branch Post Office ","Amravati","20.87135696","77.50339508"
"Dadhi B.O","444602","Dadhi","Amravati","Maharashtra","Branch Post Office ","Bhatkuli","20.958801","77.7626276"
"Ganoja Devi B.O","444602","Ganoja Dev","Amravati","Maharashtra","Branch Post Office ","Bhatkuli","20.9558059","77.7663119"
"Ganori B.O","444602","Ganori","Amravati","Maharashtra","Branch Post Office ","Bhatkuli","20.87135696","77.50339508"
"Kathora B.O","444602","Kathora","Amravati","Maharashtra","Branch Post Office ","Amravati","20.9560592","77.7653157"
"Kawatha B.O","444602","Kawatha","Amravati","Maharashtra","Branch Post Office ","Bhatkuli","20.958801","77.7626276"
"Khalkoni B.O","444602","Khalkoni","Amravati","Maharashtra","Branch Post Office ","Bhatkuli","20.958801","77.7626276"
"Nimbha B.O","444602","Nimbha","Amravati","Maharashtra","Branch Post Office ","Bhatkuli","20.958801","77.7626276"
"Parlam B.O","444602","Parlam","Amravati","Maharashtra","Branch Post Office ","Bhatkuli","20.87135696","77.50339508"
"Rahatgaon B.O","444602","Rahatgaon","Amravati","Maharashtra","Branch Post Office ","Amravati","20.96580865","77.7843741"
"Sayat B.O","444602","Sayat","Amravati","Maharashtra","Branch Post Office ","Bhatkuli","20.87135696","77.50339508"
"SRPF Camp B.O","444602","SRPF Camp","Amravati","Maharashtra","Branch Post Office ","Amravati","20.9411964","77.79349189"
"Tapovan B.O","444602","Tapovan","Amravati","Maharashtra","Branch Post Office ","Amravati","20.94094748","77.79243624"
"Uttamsara B.O","444602","Uttamsara","Amravati","Maharashtra","Branch Post Office ","Bhatkuli","20.958801","77.7626276"
"Wadgaon Mahore B.O","444602","Wadgaon Mahore","Amravati","Maharashtra","Branch Post Office ","Amravati","20.958801","77.7626276"
"Shivaji Nagar S.O (Amravati)","444603","Shivaji Nagar","Amravati","Maharashtra","Sub Post Office ","Amravati","21.1367196","79.05647865"
"V.M.V. (Amravati) S.O","444604","V.M.V.","Amravati","Maharashtra","Sub Post Office ","Amravati","20.92022694","77.78454243"
"H. V. Nagar S.O","444605","H. V. Nagar","Amravati","Maharashtra","Sub Post Office ","Amravati","19.14079167","72.84641965"
"Rukhmini Nagar S.O","444606","Rukhmini Nagar","Amravati","Maharashtra","Sub Post Office ","Amravati","20.93843337","77.78044672"
"Congress Nagar S.O (Amravati)","444606","Congress Nagar","Amravati","Maharashtra","Sub Post Office ","Amravati","20.926358","77.771119"
"Gokul Market S.O","444606","Gokul Market","Amravati","Maharashtra","Sub Post Office ","Amravati","20.915293","77.771923"
"Sai Nagar S.O","444607","Sai Nagar","Amravati","Maharashtra","Sub Post Office ","Amravati","20.896486","77.74459"
"Badnera S.O","444701","Badnera","Amravati","Maharashtra","Sub Post Office ","Amaravati","20.85173485","77.7251334"
"Badnera Town S.O","444701","Badnera Town","Amravati","Maharashtra","Sub Post Office ","Amaravati","20.84217829","77.71902333"
